ID,Hour,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,1,399,1,0,0.998,0.003,0.000
1,2,384,16,0,0.960,0.040,0.000
1,3,360,40,0,0.900,0.100,0.000
1,4,329,71,0,0.823,0.177,0.000
2,1,399,1,0,0.998,0.003,0.000
2,2,384,16,0,0.960,0.040,0.000
2,3,357,43,0,0.892,0.107,0.000
2,4,322,78,0,0.805,0.195,0.000
3,1,399,1,0,0.998,0.003,0.000
3,2,383,17,0,0.958,0.043,0.000
3,3,359,41,0,0.897,0.102,0.000
3,4,279,121,0,0.698,0.302,0.000
4,1,399,1,0,0.998,0.003,0.000
4,2,385,15,0,0.963,0.037,0.000
4,3,359,41,0,0.897,0.102,0.000
4,4,304,96,0,0.760,0.240,0.000
5,1,399,1,0,0.998,0.003,0.000
5,2,385,15,0,0.963,0.037,0.000
5,3,363,37,0,0.907,0.092,0.000
5,4,333,67,0,0.833,0.168,0.000
6,1,399,1,0,0.998,0.003,0.000
6,2,379,21,0,0.948,0.052,0.000
6,3,352,48,0,0.880,0.120,0.000
6,4,313,87,0,0.782,0.217,0.000
7,1,399,1,0,0.998,0.003,0.000
7,2,384,16,0,0.960,0.040,0.000
7,3,349,51,0,0.873,0.128,0.000
7,4,253,147,0,0.632,0.367,0.000
8,1,399,1,0,0.998,0.003,0.000
8,2,382,18,0,0.955,0.045,0.000
8,3,359,41,0,0.897,0.102,0.000
8,4,296,104,0,0.740,0.260,0.000
9,1,399,1,0,0.998,0.003,0.000
9,2,374,26,0,0.935,0.065,0.000
9,3,340,60,0,0.850,0.150,0.000
9,4,299,101,0,0.748,0.253,0.000
10,1,399,1,0,0.998,0.003,0.000
10,2,384,16,0,0.960,0.040,0.000
10,3,362,38,0,0.905,0.095,0.000
10,4,338,62,0,0.845,0.155,0.000
11,1,399,1,0,0.998,0.003,0.000
11,2,379,21,0,0.948,0.052,0.000
11,3,352,48,0,0.880,0.120,0.000
11,4,309,91,0,0.772,0.228,0.000
12,1,399,1,0,0.998,0.003,0.000
12,2,382,18,0,0.955,0.045,0.000
12,3,358,42,0,0.895,0.105,0.000
12,4,325,75,0,0.812,0.188,0.000
13,1,399,1,0,0.998,0.003,0.000
13,2,385,15,0,0.963,0.037,0.000
13,3,363,37,0,0.907,0.092,0.000
13,4,336,64,0,0.840,0.160,0.000
14,1,399,1,0,0.998,0.003,0.000
14,2,383,17,0,0.958,0.043,0.000
14,3,359,41,0,0.897,0.102,0.000
14,4,279,121,0,0.698,0.302,0.000
15,1,399,1,0,0.998,0.003,0.000
15,2,382,18,0,0.955,0.045,0.000
15,3,359,41,0,0.897,0.102,0.000
15,4,326,74,0,0.815,0.185,0.000
16,1,399,1,0,0.998,0.003,0.000
16,2,385,15,0,0.963,0.037,0.000
16,3,350,50,0,0.875,0.125,0.000
16,4,254,146,0,0.635,0.365,0.000
17,1,399,1,0,0.998,0.003,0.000
17,2,382,18,0,0.955,0.045,0.000
17,3,358,42,0,0.895,0.105,0.000
17,4,325,75,0,0.812,0.188,0.000
18,1,399,1,0,0.998,0.003,0.000
18,2,386,14,0,0.965,0.035,0.000
18,3,362,38,0,0.905,0.095,0.000
18,4,322,78,0,0.805,0.195,0.000
19,1,399,1,0,0.998,0.003,0.000
19,2,376,24,0,0.940,0.060,0.000
19,3,341,59,0,0.853,0.147,0.000
19,4,303,97,0,0.757,0.242,0.000
20,1,399,1,0,0.998,0.003,0.000
