ID,Hour,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,1,399,1,0,0.998,0.003,0.000
1,2,383,17,0,0.958,0.043,0.000
1,3,358,42,0,0.895,0.105,0.000
1,4,329,71,0,0.823,0.177,0.000
2,1,399,1,0,0.998,0.003,0.000
2,2,383,17,0,0.958,0.043,0.000
2,3,359,41,0,0.897,0.102,0.000
2,4,279,121,0,0.698,0.302,0.000
3,1,399,1,0,0.998,0.003,0.000
3,2,384,16,0,0.960,0.040,0.000
3,3,359,41,0,0.897,0.102,0.000
3,4,297,103,0,0.743,0.258,0.000
4,1,399,1,0,0.998,0.003,0.000
4,2,372,28,0,0.930,0.070,0.000
4,3,335,65,0,0.838,0.163,0.000
4,4,300,100,0,0.750,0.250,0.000
5,1,399,1,0,0.998,0.003,0.000
5,2,383,17,0,0.958,0.043,0.000
5,3,361,39,0,0.902,0.098,0.000
5,4,334,66,0,0.835,0.165,0.000
6,1,399,1,0,0.998,0.003,0.000
6,2,386,14,0,0.965,0.035,0.000
6,3,362,38,0,0.905,0.095,0.000
6,4,322,78,0,0.805,0.195,0.000
7,1,399,1,0,0.998,0.003,0.000
7,2,382,18,0,0.955,0.045,0.000
7,3,357,43,0,0.892,0.107,0.000
7,4,319,81,0,0.797,0.203,0.000
8,1,399,1,0,0.998,0.003,0.000
8,2,384,16,0,0.960,0.040,0.000
8,3,363,37,0,0.907,0.092,0.000
8,4,272,128,0,0.680,0.320,0.000
9,1,399,1,0,0.998,0.003,0.000
9,2,382,18,0,0.955,0.045,0.000
9,3,355,45,0,0.887,0.113,0.000
9,4,318,82,0,0.795,0.205,0.000
10,1,399,1,0,0.998,0.003,0.000
10,2,385,15,0,0.963,0.037,0.000
10,3,363,37,0,0.907,0.092,0.000
10,4,340,60,0,0.850,0.150,0.000
