ID,Hour,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,1,399,1,0,0.998,0.003,0.000
1,2,394,6,0,0.985,0.015,0.000
1,3,389,11,0,0.973,0.028,0.000
1,4,305,95,0,0.762,0.237,0.000
1,5,245,155,0,0.613,0.388,0.000
1,6,217,183,0,0.542,0.458,0.000
1,7,190,210,0,0.475,0.525,0.000
1,8,171,229,0,0.427,0.573,0.000
1,9,162,238,0,0.405,0.595,0.000
2,1,399,1,0,0.998,0.003,0.000
2,2,396,4,0,0.990,0.010,0.000
2,3,389,11,0,0.973,0.028,0.000
2,4,386,14,0,0.965,0.035,0.000
2,5,376,24,0,0.940,0.060,0.000
2,6,360,40,0,0.900,0.100,0.000
2,7,342,58,0,0.855,0.145,0.000
2,8,335,65,0,0.838,0.163,0.000
2,9,319,81,0,0.797,0.203,0.000
3,1,399,1,0,0.998,0.003,0.000
3,2,347,53,0,0.868,0.133,0.000
3,3,261,139,0,0.652,0.347,0.000
3,4,189,211,0,0.472,0.527,0.000
3,5,175,225,0,0.438,0.562,0.000
3,6,158,242,0,0.395,0.605,0.000
3,7,146,254,0,0.365,0.635,0.000
3,8,135,265,0,0.338,0.662,0.000
3,9,128,272,0,0.320,0.680,0.000
4,1,400,0,0,1.000,0.000,0.000
4,2,400,0,0,1.000,0.000,0.000
4,3,400,0,0,1.000,0.000,0.000
4,4,400,0,0,1.000,0.000,0.000
5,1,399,1,0,0.998,0.003,0.000
5,2,372,28,0,0.930,0.070,0.000
5,3,220,180,0,0.550,0.450,0.000
5,4,142,258,0,0.355,0.645,0.000
5,5,135,265,0,0.338,0.662,0.000
5,6,126,274,0,0.315,0.685,0.000
5,7,119,281,0,0.297,0.703,0.000
5,8,116,284,0,0.290,0.710,0.000
5,9,111,289,0,0.278,0.723,0.000
6,1,399,1,0,0.998,0.003,0.000
6,2,385,15,0,0.963,0.037,0.000
6,3,376,24,0,0.940,0.060,0.000
6,4,330,70,0,0.825,0.175,0.000
6,5,287,113,0,0.718,0.282,0.000
6,6,250,150,0,0.625,0.375,0.000
6,7,219,181,0,0.547,0.453,0.000
6,8,192,208,0,0.480,0.520,0.000
6,9,173,227,0,0.432,0.568,0.000
7,1,400,0,0,1.000,0.000,0.000
7,2,400,0,0,1.000,0.000,0.000
7,3,400,0,0,1.000,0.000,0.000
7,4,400,0,0,1.000,0.000,0.000
8,1,399,1,0,0.998,0.003,0.000
8,2,399,1,0,0.998,0.003,0.000
8,3,399,1,0,0.998,0.003,0.000
8,4,399,1,0,0.998,0.003,0.000
8,5,399,1,0,0.998,0.003,0.000
8,6,399,1,0,0.998,0.003,0.000
8,7,399,1,0,0.998,0.003,0.000
8,8,399,1,0,0.998,0.003,0.000
8,9,399,1,0,0.998,0.003,0.000
9,1,399,1,0,0.998,0.003,0.000
9,2,393,7,0,0.983,0.018,0.000
9,3,381,19,0,0.953,0.048,0.000
9,4,327,73,0,0.818,0.182,0.000
9,5,264,136,0,0.660,0.340,0.000
9,6,234,166,0,0.585,0.415,0.000
9,7,206,194,0,0.515,0.485,0.000
9,8,182,218,0,0.455,0.545,0.000
9,9,169,231,0,0.422,0.578,0.000
10,1,399,1,0,0.998,0.003,0.000
10,2,290,110,0,0.725,0.275,0.000
10,3,165,235,0,0.412,0.588,0.000
10,4,128,272,0,0.320,0.680,0.000
10,5,123,277,0,0.307,0.693,0.000
10,6,117,283,0,0.292,0.708,0.000
10,7,115,285,0,0.287,0.713,0.000
10,8,112,288,0,0.280,0.720,0.000
10,9,110,290,0,0.275,0.725,0.000
